title,epicurious_url,found_exact,match_type,n_candidates_seen,pages_visited,stopped_reason
Coconut-Key Lime Sheet Cake ,https://www.epicurious.com/recipes/food/views/coconut-key-lime-sheet-cake,True,exact_title,12,0,found_on_page_1_exact_title
"Baked Halibut with Orzo, Spinach, and Cherry Tomatoes ",https://www.epicurious.com/recipes/food/views/baked-halibut-with-orzo-spinach-and-cherry-tomatoes-232872,True,exact_title,12,0,found_on_page_1_exact_title
Spicy Black Beans and Rice ,https://www.epicurious.com/recipes/food/views/spicy-black-beans-and-rice-11490,True,exact_title,12,0,found_on_page_1_exact_title
Mexican Lime Soup ,https://www.epicurious.com/recipes/food/views/mexican-lime-soup-4320,True,exact_title,10,0,found_on_page_1_exact_title
Mexican Chile and Mushroom Soup ,https://www.epicurious.com/recipes/food/views/mexican-chile-and-mushroom-soup-230743,True,exact_title,12,0,found_on_page_1_exact_title
Citrus Salad with Mint Sugar ,https://www.epicurious.com/recipes/food/views/citrus-salad-with-mint-sugar-368291,True,exact_title,12,0,found_on_page_1_exact_title
Peanut Butter-Banana Muffins ,https://www.epicurious.com/recipes/food/views/peanut-butter-banana-muffins-5456,True,exact_title,12,0,found_on_page_1_exact_title
Pancetta Roast Chicken with Walnut Stuffing ,https://www.epicurious.com/recipes/food/views/pancetta-roast-chicken-with-walnut-stuffing-242138,True,exact_title,12,0,found_on_page_1_exact_title
1977 Coconut Angel Food Cake ,https://www.epicurious.com/recipes/food/views/1977-coconut-angel-food-cake-11034,True,exact_title,12,0,found_on_page_1_exact_title
Veal Burgers Stuffed with Mozzarella Cheese ,https://www.epicurious.com/recipes/food/views/veal-burgers-stuffed-with-mozzarella-cheese-102866,True,exact_title,12,0,found_on_page_1_exact_title
Roasted Eggplant and Olive Spread with Pita Bread Chips ,https://www.epicurious.com/recipes/food/views/roasted-eggplant-and-olive-spread-with-pita-bread-chips-103225,True,exact_title,12,0,found_on_page_1_exact_title
Pecan Blue Cheese Crackers ,https://www.epicurious.com/recipes/food/views/pecan-blue-cheese-crackers-14555,True,exact_title,12,0,found_on_page_1_exact_title
"Romaine, Grilled Avocado, and Smoky Corn Salad with Chipotle-Caesar Dressing ",https://www.epicurious.com/recipes/food/views/romaine-grilled-avocado-and-smoky-corn-salad-with-chipotle-caesar-dressing-353664,True,exact_title,12,0,found_on_page_1_exact_title
Colin Perry’s Sorghum and Apple Sticky Pudding ,,False,,1,0,exception
Mixed Berry Pavlovas ,https://www.epicurious.com/recipes/food/views/mixed-berry-pavlovas-103405,True,exact_title,12,0,found_on_page_1_exact_title
Scarborough Fair Tofu Burger ,https://www.epicurious.com/recipes/food/views/scarborough-fair-tofu-burger-366471,True,exact_title,12,0,found_on_page_1_exact_title
White Chocolate Tartlets with Strawberries and Bananas ,https://www.epicurious.com/recipes/food/views/white-chocolate-tartlets-with-strawberries-and-bananas-103302,True,exact_title,12,0,found_on_page_1_exact_title
Tomato-Infused Bulgur Pilaf with Fresh Basil ,https://www.epicurious.com/recipes/food/views/tomato-infused-bulgur-pilaf-with-fresh-basil-51195020,True,exact_title,12,0,found_on_page_1_exact_title
"Roasted Butternut Squash, Rosemary, and Garlic Lasagne ",https://www.epicurious.com/recipes/food/views/roasted-butternut-squash-rosemary-and-garlic-lasagne-13479,True,exact_title,12,0,found_on_page_1_exact_title
Grilled Roast Beef and Stilton Sandwich ,https://www.epicurious.com/recipes/food/views/grilled-roast-beef-and-stilton-sandwich-1819,True,exact_title,11,0,found_on_page_1_exact_title
Pear-Hazelnut Cheesecakes with Pear-Raspberry Sauce ,https://www.epicurious.com/recipes/food/views/pear-hazelnut-cheesecakes-with-pear-raspberry-sauce-100660,True,exact_title,12,0,found_on_page_1_exact_title
Nut Butter ,https://www.epicurious.com/recipes/food/views/nut-butter,True,exact_title,12,0,found_on_page_1_exact_title
Cheese Ravioli with Fresh Tomato Sauce ,https://www.epicurious.com/recipes/food/views/cheese-ravioli-with-fresh-tomato-sauce-239029,True,exact_title,12,0,found_on_page_1_exact_title
Banana Layer Cake with Cream Cheese Frosting ,https://www.epicurious.com/recipes/food/views/banana-layer-cake-with-white-chocolate-cream-cheese-frosting-and-walnuts-107330,True,all_words_in_slug,12,0,found_on_page_1_all_words_in_slug
South American-Style Jícama and Orange Salad ,https://www.epicurious.com/recipes/food/views/south-american-style-jicama-and-orange-salad-11651,True,exact_title,12,0,found_on_page_1_exact_title
Roasted Acorn Squash and Chestnuts ,https://www.epicurious.com/recipes/food/views/roasted-acorn-squash-and-chestnuts-15699,True,exact_title,12,0,found_on_page_1_exact_title
Maple Pumpkin Pots de Crème ,https://www.epicurious.com/recipes/food/views/maple-pumpkin-pots-de-creme-107388,True,exact_title,12,0,found_on_page_1_exact_title
Horseradish Dill Potato Salad ,https://www.epicurious.com/recipes/food/views/horseradish-dill-potato-salad-12320,True,exact_title,12,0,found_on_page_1_exact_title
Chicken in Green Pumpkin-Seed Sauce ,https://www.epicurious.com/recipes/food/views/chicken-in-green-pumpkin-seed-sauce-108053,True,exact_title,12,0,found_on_page_1_exact_title
Jeweled Rice ,https://www.epicurious.com/recipes/food/views/jeweled-rice-51169120,True,exact_title,11,0,found_on_page_1_exact_title
Braised Brisket with Bourbon-Peach Glaze ,https://www.epicurious.com/recipes/food/views/braised-brisket-with-bourbon-peach-glaze-388709,True,exact_title,12,0,found_on_page_1_exact_title
Grilled Pork Chops with Classic Barbecue Sauce ,https://www.epicurious.com/recipes/food/views/grilled-pork-chops-with-classic-barbecue-sauce-15066,True,exact_title,12,0,found_on_page_1_exact_title
Roast Chicken With Sorghum and Squash ,https://www.epicurious.com/recipes/food/views/roast-chicken-legs-with-sorghum-and-squash,True,exact_title,12,0,found_on_page_1_exact_title
Asparagus with Bacon and Onion ,https://www.epicurious.com/recipes/food/views/asparagus-with-bacon-and-onion-234149,True,exact_title,12,0,found_on_page_1_exact_title
Salmon with Chili-Mango Salsa ,https://www.epicurious.com/recipes/food/views/salmon-with-chili-mango-salsa-103886,True,exact_title,12,0,found_on_page_1_exact_title
"Braised Chicken and Rice with Orange, Saffron, Almond, and Pistachio Syrup ",https://www.epicurious.com/recipes/food/views/braised-chicken-and-rice-with-orange-saffron-almond-and-pistachio-syrup-358563,True,exact_title,132,10,found_on_page_11_exact_title
Cucumber-Yogurt Salad with Mint ,https://www.epicurious.com/recipes/food/views/cucumber-yogurt-salad-with-mint-2353,True,exact_title,12,0,found_on_page_1_exact_title
Turkey and Pinto Bean Chili ,,False,,1,0,exception
Lamb Shanks Braised with Anise and Orange ,https://www.epicurious.com/recipes/food/views/lamb-shanks-braised-with-anise-and-orange-5693,True,exact_title,12,0,found_on_page_1_exact_title
Roast Beef Salad with Cabbage and Horseradish ,https://www.epicurious.com/recipes/food/views/roast-beef-salad-with-cabbage-and-horseradish-411,True,exact_title,12,0,found_on_page_1_exact_title
Savoy Cabbage and Arugula Salad ,https://www.epicurious.com/recipes/food/views/savoy-cabbage-and-arugula-salad-14981,True,exact_title,12,0,found_on_page_1_exact_title
"Fennel, Beet and Orange Salad with Olives ",https://www.epicurious.com/recipes/food/views/fennel-beet-and-orange-salad-with-olives-102644,True,exact_title,12,0,found_on_page_1_exact_title
Shrimp Gazpacho ,https://www.epicurious.com/recipes/food/views/shrimp-gazpacho-105334,True,exact_title,12,0,found_on_page_1_exact_title
Parsnip and Apple Soup ,https://www.epicurious.com/recipes/food/views/parsnip-and-apple-soup-10856,True,exact_title,12,0,found_on_page_1_exact_title
Stout Floats ,https://www.epicurious.com/recipes/food/views/stout-floats-238690,True,exact_title,12,0,found_on_page_1_exact_title
Apricot-Pistachio Muffins Baked on the Grill ,https://www.epicurious.com/recipes/food/views/apricot-pistachio-muffins-baked-on-the-grill-51241420,True,exact_title,12,0,found_on_page_1_exact_title
Asian Noodles with Barbecued Duck Confit ,https://www.epicurious.com/recipes/food/views/asian-noodles-with-barbecued-duck-confit-243565,True,exact_title,12,0,found_on_page_1_exact_title
Banana Split with Curried Chocolate-Coconut Sauce ,https://www.epicurious.com/recipes/food/views/banana-split-with-curried-chocolate-coconut-sauce-234829,True,exact_title,12,0,found_on_page_1_exact_title
Escarole and Cheese Spoon Bread ,https://www.epicurious.com/recipes/food/views/escarole-and-cheese-spoon-bread-1713,True,exact_title,12,0,found_on_page_1_exact_title
Kids' Matzoh Pizza ,https://www.epicurious.com/recipes/food/views/kids-matzoh-pizza-104860,True,exact_title,12,0,found_on_page_1_exact_title
"Cranberry, Quince, and Pearl Onion Compote ",https://www.epicurious.com/recipes/food/views/cranberry-quince-and-pearl-onion-compote-350642,True,exact_title,12,0,found_on_page_1_exact_title
Tropical Rum Punch ,https://www.epicurious.com/recipes/food/views/tropical-rum-punch-201195,True,exact_title,12,0,found_on_page_1_exact_title
Chickpea Salad Sandwich With Creamy Carrot-Radish Slaw ,https://www.epicurious.com/recipes/food/views/chickpea-salad-sandwich-with-creamy-carrot-radish-slaw,True,exact_title,12,0,found_on_page_1_exact_title
Blackberry-Raspberry Sauce ,https://www.epicurious.com/recipes/food/views/blackberry-raspberry-sauce-14210,True,exact_title,11,0,found_on_page_1_exact_title
Laddie's Sub-Bourbon ,https://www.epicurious.com/recipes/food/views/laddies-sub-bourbon-236179,True,exact_title,11,0,found_on_page_1_exact_title
Red Cabbage and Onions ,https://www.epicurious.com/recipes/food/views/red-cabbage-with-raspberries-onions-and-apples-101023,True,all_words_in_slug,11,0,found_on_page_1_all_words_in_slug
Chocolate Almond Butter ,https://www.epicurious.com/recipes/food/views/chocolate-almond-butter-cups,True,all_words_in_slug,12,0,found_on_page_1_all_words_in_slug
Spicy Sesame Noodles with Chopped Peanuts and Thai Basil ,https://www.epicurious.com/recipes/food/views/spicy-sesame-noodles-with-chopped-peanuts-and-thai-basil-238798,True,exact_title,12,0,found_on_page_1_exact_title
Potato Gratin with Goat Cheese and Garlic ,https://www.epicurious.com/recipes/food/views/potato-gratin-with-goat-cheese-and-garlic-104727,True,exact_title,12,0,found_on_page_1_exact_title
Radishes with Burrata ,https://www.epicurious.com/recipes/food/views/radishes-with-burrata-51234820,True,exact_title,11,0,found_on_page_1_exact_title
Blueberry Streusel Cake ,https://www.epicurious.com/recipes/food/views/blueberry-streusel-cake-354217,True,exact_title,12,0,found_on_page_1_exact_title
Winter Squash Soufflé ,https://www.epicurious.com/recipes/food/views/winter-squash-souffle-236420,True,exact_title,23,1,found_on_page_2_exact_title
Honey Mustard Sauce ,https://www.epicurious.com/recipes/food/views/honey-mustard-sauce-5442,True,exact_title,12,0,found_on_page_1_exact_title
Rosemary and Lemon Pinto Beans ,https://www.epicurious.com/recipes/food/views/rosemary-and-lemon-pinto-beans-5489,True,exact_title,12,0,found_on_page_1_exact_title
Mustard-Ginger Shrimp Canapes ,https://www.epicurious.com/recipes/food/views/mustard-ginger-shrimp-canapes-12138,True,exact_title,12,0,found_on_page_1_exact_title
Shrimp and Green Onion Pancakes ,https://www.epicurious.com/recipes/food/views/shrimp-and-green-onion-pancakes-353891,True,exact_title,24,1,found_on_page_2_exact_title
Rumbrosia ,https://www.epicurious.com/recipes/food/views/rumbrosia-230563,True,exact_title,12,0,found_on_page_1_exact_title
Sage-Roasted Turkey with Caramelized Onions and Sage Gravy ,https://www.epicurious.com/recipes/food/views/sage-roasted-turkey-with-caramelized-onions-and-sage-gravy-102479,True,exact_title,12,0,found_on_page_1_exact_title
Shrimp Cakes with Andouille Sausage ,https://www.epicurious.com/recipes/food/views/shrimp-cakes-with-andouille-sausage-106163,True,exact_title,12,0,found_on_page_1_exact_title
Creamy Tofu Salad ,https://www.epicurious.com/recipes/food/views/creamy-tofu-salad-109639,True,exact_title,12,0,found_on_page_1_exact_title
Chocolate-Cherry Ice Cream Pie with Hot Fudge Sauce ,https://www.epicurious.com/recipes/food/views/chocolate-cherry-ice-cream-pie-with-hot-fudge-sauce-105186,True,exact_title,12,0,found_on_page_1_exact_title
Jalapeño-Cheddar Frittata ,https://www.epicurious.com/recipes/food/views/jalapeno-cheddar-frittata-104458,True,exact_title,12,0,found_on_page_1_exact_title
Roasted Beets and Citrus with Feta ,https://www.epicurious.com/recipes/food/views/roasted-beets-and-citrus-with-feta-363732,True,exact_title,11,0,found_on_page_1_exact_title
"Green Beans with Crisp Shallots, Chile, and Mint ",https://www.epicurious.com/recipes/food/views/green-beans-with-crisp-shallots-chile-and-mint-108507,True,exact_title,12,0,found_on_page_1_exact_title
Cranberry Pear Tart with Gingerbread Crust ,https://www.epicurious.com/recipes/food/views/cranberry-pear-tart-with-gingerbread-crust-10946,True,exact_title,12,0,found_on_page_1_exact_title
"Cranberry, Shallot, and Dried-Cherry Compote ",https://www.epicurious.com/recipes/food/views/cranberry-shallot-and-dried-cherry-compote-10800,True,exact_title,12,0,found_on_page_1_exact_title
Peanut Butter Cream Tart ,https://www.epicurious.com/recipes/food/views/peanut-butter-cream-tart-107534,True,exact_title,12,0,found_on_page_1_exact_title
Cheddar Chicken Tenders with Wilted Spinach ,https://www.epicurious.com/recipes/food/views/cheddar-chicken-tenders-with-wilted-spinach-236019,True,exact_title,12,0,found_on_page_1_exact_title
Blueberry Cheesecake ,https://www.epicurious.com/recipes/food/views/blueberry-cheesecake-4302,True,exact_title,23,1,found_on_page_2_exact_title
Apple Pie with Whisky-Soaked Cherries ,https://www.epicurious.com/recipes/food/views/apple-pie-with-whisky-soaked-cherries-232899,True,exact_title,12,0,found_on_page_1_exact_title
Parsleyed Yellow-Potato Salad ,https://www.epicurious.com/recipes/food/views/parsleyed-yellow-potato-salad-12151,True,exact_title,12,0,found_on_page_1_exact_title
Egg Sandwich with Green Bean Slaw ,https://www.epicurious.com/recipes/food/views/egg-sandwich-with-green-bean-slaw-51169610,True,exact_title,12,0,found_on_page_1_exact_title
Shaved Brussels Sprout and Shallot Sauté ,https://www.epicurious.com/recipes/food/views/shaved-brussels-sprout-and-shallot-saute-240111,True,exact_title,12,0,found_on_page_1_exact_title
Roasted Carrot and Beet Salad with Feta ,,False,,1,0,exception
Cassata Cake ,https://www.epicurious.com/recipes/food/views/cassata-cake-359950,True,exact_title,12,0,found_on_page_1_exact_title
Baked Beans with Slab Bacon and Breadcrumbs ,https://www.epicurious.com/recipes/food/views/baked-beans-with-slab-bacon-and-breadcrumbs-51264630,True,exact_title,12,0,found_on_page_1_exact_title
Grilled Corn with Lime-Cilantro Butter ,https://www.epicurious.com/recipes/food/views/grilled-corn-with-lime-cilantro-butter-358137,True,exact_title,12,0,found_on_page_1_exact_title
Roasted Winter Squash and Parsnips with Maple Syrup Glaze and Marcona Almonds ,https://www.epicurious.com/recipes/food/views/roasted-winter-squash-and-parsnips-with-maple-syrup-glaze-and-marcona-almonds-350453,True,exact_title,12,0,found_on_page_1_exact_title
Roasted Bell Peppers with Basil and Balsamic Vinegar ,https://www.epicurious.com/recipes/food/views/roasted-bell-peppers-with-basil-and-balsamic-vinegar-2193,True,exact_title,12,0,found_on_page_1_exact_title
Char-Grilled Beef Tenderloin with Three-Herb Chimichurri ,https://www.epicurious.com/recipes/food/views/char-grilled-beef-tenderloin-with-three-herb-chimichurri-235342,True,exact_title,12,0,found_on_page_1_exact_title
"Sauteed Veal with Shrimp, Mushroom, and Brandy Cream Sauce ",,False,,230,20,no_new_candidates_stopped_pagination
Pork Roast Braised with Milk and Fresh Herbs (Maiale al Latte ) ,https://www.epicurious.com/recipes/food/views/pork-roast-braised-with-milk-and-fresh-herbs-em-maiale-al-latte-em-242034,True,exact_title,12,0,found_on_page_1_exact_title
Chocolate Pecan Banana Tarts ,https://www.epicurious.com/recipes/food/views/chocolate-pecan-banana-tarts-13065,True,exact_title,12,0,found_on_page_1_exact_title
Chili Meatballs in Black Bean and Tomato Sauce ,https://www.epicurious.com/recipes/food/views/chili-meatballs-in-black-bean-and-tomato-sauce-56390071,True,exact_title,12,0,found_on_page_1_exact_title
Coq au Vin Nouveau ,https://www.epicurious.com/recipes/food/views/coq-au-vin-nouveau-41,True,exact_title,11,0,found_on_page_1_exact_title
Marbled Raspberry Cream ,https://www.epicurious.com/recipes/food/views/marbled-raspberry-cream-5185,True,exact_title,12,0,found_on_page_1_exact_title
Sangria IV ,https://www.epicurious.com/recipes/food/views/sangria-iv-201204,True,exact_title,12,0,found_on_page_1_exact_title
Apple and Prune Tart with Vanilla Ice Cream and Cognac ,https://www.epicurious.com/recipes/food/views/apple-and-prune-tart-with-vanilla-ice-cream-and-cognac-104612,True,exact_title,12,0,found_on_page_1_exact_title
Smoky Plantain Crema ,https://www.epicurious.com/recipes/food/views/smoky-plantain-crema-108216,True,exact_title,12,0,found_on_page_1_exact_title
Pork Chops with Sweet-and-Sour Cider Glaze ,https://www.epicurious.com/recipes/food/views/pork-chops-with-sweet-and-sour-cider-glaze-104392,True,exact_title,24,1,found_on_page_2_exact_title
Calabrian Chile Butter ,https://www.epicurious.com/recipes/food/views/calabrian-chile-butter,True,exact_title,11,0,found_on_page_1_exact_title
Chicken and Sausage Jambalaya ,https://www.epicurious.com/recipes/food/views/chicken-and-sausage-jambalaya-364172,True,exact_title,12,0,found_on_page_1_exact_title
"""Seder Plate"" Salad ",https://www.epicurious.com/recipes/food/views/seder-plate-salad,True,exact_title,12,0,found_on_page_1_exact_title
Heirloom Tomato Salad with Blue Cheese ,https://www.epicurious.com/recipes/food/views/heirloom-tomato-salad-with-blue-cheese-108427,True,exact_title,12,0,found_on_page_1_exact_title
Veal Scallops with Mushrooms and Herbs ,https://www.epicurious.com/recipes/food/views/veal-scallops-with-mushrooms-and-herbs-12099,True,exact_title,12,0,found_on_page_1_exact_title
Fried Fish with Moroccan-Style Herb Sauce ,https://www.epicurious.com/recipes/food/views/fried-fish-with-moroccan-style-herb-sauce-12366,True,exact_title,12,0,found_on_page_1_exact_title
Spicy Noodles with Ginger and Fresh Vegetables ,https://www.epicurious.com/recipes/food/views/spicy-noodles-with-ginger-and-fresh-vegetables-4627,True,exact_title,24,1,found_on_page_2_exact_title
Banana Smoothie ,https://www.epicurious.com/recipes/food/views/ba-syn-strawberry-banana-smoothie-recipe,True,all_words_in_slug,12,0,found_on_page_1_all_words_in_slug
"Chocolate, Walnut and Prune Fudge Torte ",https://www.epicurious.com/recipes/food/views/chocolate-walnut-and-prune-fudge-torte-1632,True,exact_title,12,0,found_on_page_1_exact_title
Mocha Brownies ,https://www.epicurious.com/recipes/food/views/mocha-brownies-102184,True,exact_title,12,0,found_on_page_1_exact_title
Onion and Cider Soup with Roquefort Croutons ,https://www.epicurious.com/recipes/food/views/onion-and-cider-soup-with-roquefort-croutons-13355,True,exact_title,12,0,found_on_page_1_exact_title
Eggnog ,https://www.epicurious.com/recipes/food/views/ba-syn-eggnog,True,exact_title,12,0,found_on_page_1_exact_title
"Spinach, Feta, and Phyllo Purses ",https://www.epicurious.com/recipes/food/views/spinach-feta-and-phyllo-purses-101576,True,exact_title,12,0,found_on_page_1_exact_title
"Chicken, Corn, and Noodle Soup with Saffron ",https://www.epicurious.com/recipes/food/views/chicken-corn-and-noodle-soup-with-saffron-2762,True,exact_title,12,0,found_on_page_1_exact_title
D.i.y. Drinks Bar ,https://www.epicurious.com/recipes/food/views/d-i-y-drinks-bar-234784,True,exact_title,10,0,found_on_page_1_exact_title
Yellow Squash and Bell Pepper Torte ,https://www.epicurious.com/recipes/food/views/yellow-squash-and-bell-pepper-torte-354988,True,exact_title,12,0,found_on_page_1_exact_title
Beef Stroganoff with Tomatoes ,https://www.epicurious.com/recipes/food/views/beef-stroganoff-with-tomatoes-107484,True,exact_title,12,0,found_on_page_1_exact_title
Butternut Squash-Parsnip Soup with Thyme ,https://www.epicurious.com/recipes/food/views/butternut-squash-parsnip-soup-with-thyme-4699,True,exact_title,12,0,found_on_page_1_exact_title
Honey-Cinnamon Ice Cream ,https://www.epicurious.com/recipes/food/views/honey-cinnamon-ice-cream-364329,True,exact_title,12,0,found_on_page_1_exact_title
"Crispy Bruschetta with Goat Cheese, Tomatoes and Mint ",https://www.epicurious.com/recipes/food/views/crispy-bruschetta-with-goat-cheese-tomatoes-and-mint-103220,True,exact_title,12,0,found_on_page_1_exact_title
Ginger-Wasabi Halibut Brochettes ,https://www.epicurious.com/recipes/food/views/ginger-wasabi-halibut-brochettes-5448,True,exact_title,12,0,found_on_page_1_exact_title
Banana Coffee Cake Diamond ,https://www.epicurious.com/recipes/food/views/banana-coffee-cake-diamond-11799,True,exact_title,12,0,found_on_page_1_exact_title
Three-Chile Harissa ,https://www.epicurious.com/recipes/food/views/three-chile-harissa,True,exact_title,12,0,found_on_page_1_exact_title
The BA Patty Melt ,https://www.epicurious.com/recipes/food/views/the-ba-patty-melt-51252650,True,exact_title,12,0,found_on_page_1_exact_title
Butter-Rum Baked Apples ,https://www.epicurious.com/recipes/food/views/butter-rum-baked-apples-104649,True,exact_title,12,0,found_on_page_1_exact_title
"Frisée, Radicchio, and Asian Pear Salad with Hazelnut Vinaigrette ",https://www.epicurious.com/recipes/food/views/frisee-radicchio-and-asian-pear-salad-with-hazelnut-vinaigrette-13202,True,exact_title,12,0,found_on_page_1_exact_title
Avocado and Smoked Pork Carnitas ,https://www.epicurious.com/recipes/food/views/avocado-and-smoked-pork-carnitas-2000,True,exact_title,12,0,found_on_page_1_exact_title
Grilled Turkey with Toasted Fennel and Coriander and Fresh Thyme Gravy ,https://www.epicurious.com/recipes/food/views/grilled-turkey-with-toasted-fennel-and-coriander-and-fresh-thyme-gravy-355793,True,exact_title,12,0,found_on_page_1_exact_title
Onion Oil ,https://www.epicurious.com/recipes/food/views/onion-oil-357589,True,exact_title,23,1,found_on_page_2_exact_title
Herb-Roasted Turkey ,https://www.epicurious.com/recipes/food/views/herb-roasted-turkey-51122800,True,exact_title,12,0,found_on_page_1_exact_title
Black Bean and Vegetable Wraps ,,False,,207,18,no_new_candidates_stopped_pagination
Crab Cakes with Red Chili Mayonnaise ,https://www.epicurious.com/recipes/food/views/crab-cakes-with-red-chili-mayonnaise-107053,True,exact_title,12,0,found_on_page_1_exact_title
Cherry-Apricot Cobbler ,https://www.epicurious.com/recipes/food/views/cherry-apricot-cobbler-241364,True,exact_title,11,0,found_on_page_1_exact_title
Romaine-Wrapped Halibut ,https://www.epicurious.com/recipes/food/views/romaine-wrapped-halibut-104552,True,exact_title,11,0,found_on_page_1_exact_title
Sour Cream Apple Pie ,https://www.epicurious.com/recipes/food/views/sour-cream-apple-pie-235947,True,exact_title,12,0,found_on_page_1_exact_title
"Ice Cream Soda with Lime, Mint and Ginger ",https://www.epicurious.com/recipes/food/views/ice-cream-soda-with-lime-mint-and-ginger-200590,True,exact_title,12,0,found_on_page_1_exact_title
Crab and Wild Mushroom Cheesecake ,https://www.epicurious.com/recipes/food/views/crab-and-wild-mushroom-cheesecake-5816,True,exact_title,12,0,found_on_page_1_exact_title
Tossed Pizza Salad ,https://www.epicurious.com/recipes/food/views/tossed-pizza-salad-101936,True,exact_title,12,0,found_on_page_1_exact_title
Cider-Braised Pheasant with Pearl Onions and Apples ,https://www.epicurious.com/recipes/food/views/cider-braised-pheasant-with-pearl-onions-and-apples-236322,True,exact_title,12,0,found_on_page_1_exact_title
Polenta With Mushrooms ,https://www.epicurious.com/recipes/food/views/polenta-with-mushrooms,True,exact_title,12,0,found_on_page_1_exact_title
"Potato Pancakes with Chick-Pea Flour, Cilantro and Cumin ",https://www.epicurious.com/recipes/food/views/potato-pancakes-with-chick-pea-flour-cilantro-and-cumin-379,True,exact_title,12,0,found_on_page_1_exact_title
"Avocado ""Pesto"" ",https://www.epicurious.com/recipes/food/views/avocado-pesto-2011,True,exact_title,12,0,found_on_page_1_exact_title
